16:01:07 | INFO | peft_train | [3420/200000] loss=0.0428 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:09 | INFO | peft_train | [3440/200000] loss=0.0465 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:11 | INFO | peft_train | [3460/200000] loss=0.0419 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:14 | INFO | peft_train | [3480/200000] loss=0.0413 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:16 | INFO | peft_train | [3500/200000] loss=0.0517 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:18 | INFO | peft_train | [3520/200000] loss=0.0454 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:21 | INFO | peft_train | [3540/200000] loss=0.0390 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:23 | INFO | peft_train | [3560/200000] loss=0.0525 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:25 | INFO | peft_train | [3580/200000] loss=0.0417 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:28 | INFO | peft_train | [3600/200000] loss=0.0471 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:30 | INFO | peft_train | [3620/200000] loss=0.0371 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:32 | INFO | peft_train | [3640/200000] loss=0.0387 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:35 | INFO | peft_train | [3660/200000] loss=0.0405 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:37 | INFO | peft_train | [3680/200000] loss=0.0410 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:39 | INFO | peft_train | [3700/200000] loss=0.0916 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:42 | INFO | peft_train | [3720/200000] loss=0.0520 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:44 | INFO | peft_train | [3740/200000] loss=0.0437 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:46 | INFO | peft_train | [3760/200000] loss=0.0472 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:49 | INFO | peft_train | [3780/200000] loss=0.0439 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:51 | INFO | peft_train | [3800/200000] loss=0.0405 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:54 | INFO | peft_train | [3820/200000] loss=0.0415 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.13s/it)
16:01:56 | INFO | peft_train | [3840/200000] loss=0.0392 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:59 | INFO | peft_train | [3860/200000] loss=0.0547 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:01 | INFO | peft_train | [3880/200000] loss=0.0435 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:03 | INFO | peft_train | [3900/200000] loss=0.0461 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:06 | INFO | peft_train | [3920/200000] loss=0.0478 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:08 | INFO | peft_train | [3940/200000] loss=0.0415 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:10 | INFO | peft_train | [3960/200000] loss=0.0505 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:13 | INFO | peft_train | [3980/200000] loss=0.0379 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:15 | INFO | peft_train | [4000/200000] loss=0.0467 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:18 | INFO | peft_train | [4020/200000] loss=0.0415 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:20 | INFO | peft_train | [4040/200000] loss=0.0370 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:22 | INFO | peft_train | [4060/200000] loss=0.0431 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:25 | INFO | peft_train | [4080/200000] loss=0.0398 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:02:27 | INFO | peft_train | [4100/200000] loss=0.0485 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
