19:02:36 | INFO | peft_train | [2720/40000] loss=0.0342 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:38 | INFO | peft_train | [2740/40000] loss=0.0282 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:40 | INFO | peft_train | [2760/40000] loss=0.0340 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:43 | INFO | peft_train | [2780/40000] loss=0.0356 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:45 | INFO | peft_train | [2800/40000] loss=0.0337 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:02:48 | INFO | peft_train | [2820/40000] loss=0.0377 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:02:50 | INFO | peft_train | [2840/40000] loss=0.0312 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:02:53 | INFO | peft_train | [2860/40000] loss=0.0335 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:02:55 | INFO | peft_train | [2880/40000] loss=0.0402 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:02:58 | INFO | peft_train | [2900/40000] loss=0.0357 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:03:00 | INFO | peft_train | [2920/40000] loss=0.0571 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:03:03 | INFO | peft_train | [2940/40000] loss=0.0345 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:03:05 | INFO | peft_train | [2960/40000] loss=0.0480 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:03:08 | INFO | peft_train | [2980/40000] loss=0.0320 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:03:10 | INFO | peft_train | [3000/40000] loss=0.0316 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.12s/it)
19:03:13 | INFO | peft_train | 📊 Eval [3000]: pos=0.0147 rot=0.0029
19:03:15 | INFO | peft_train | [3020/40000] loss=0.0321 lr_core=4.94e-04 lr_vlm=4.94e-04 (0.26s/it)
19:03:18 | INFO | peft_train | [3040/40000] loss=0.0357 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.13s/it)
19:03:20 | INFO | peft_train | [3060/40000] loss=0.0389 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.13s/it)
19:03:23 | INFO | peft_train | [3080/40000] loss=0.0320 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.13s/it)
19:03:25 | INFO | peft_train | [3100/40000] loss=0.0385 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.13s/it)
19:03:28 | INFO | peft_train | [3120/40000] loss=0.0299 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
